"name","begin","length","end","refseq","reverse complement","BLAST result","BLAST score","type","type support","VP1 type","VP1 type support","VP1 subgenogroup","VP1 subgenogroup support"
"KX957754","39","7321","7379","NC_001430","false","Picornaviridae Enterovirus D","92.73125","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KX957755","29","7304","7352","NC_001430","false","Picornaviridae Enterovirus D","92.71732","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KX957759","29","7331","7379","NC_001430","false","Picornaviridae Enterovirus D","92.91951","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KX957760","50","7310","7379","NC_001430","false","Picornaviridae Enterovirus D","92.892365","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KX957762","39","7306","7364","NC_001430","false","Picornaviridae Enterovirus D","92.66356","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY042026","726","6567","7311","NC_001430","false","Picornaviridae Enterovirus D","92.55367","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY292526","28","7332","7379","NC_001430","false","Picornaviridae Enterovirus D","92.947754","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY348862","33","7317","7372","NC_001430","false","Picornaviridae Enterovirus D","94.140144","EV-D68","100.0","EV-D68","100.0","A1","100.0"
"KY385880","70","7290","7379","NC_001430","false","Picornaviridae Enterovirus D","92.81108","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY385881","28","7332","7379","NC_001430","false","Picornaviridae Enterovirus D","92.593094","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY385882","27","7334","7380","NC_001430","false","Picornaviridae Enterovirus D","92.61077","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY385883","41","7320","7380","NC_001430","false","Picornaviridae Enterovirus D","92.910805","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY385886","60","7300","7379","NC_001430","false","Picornaviridae Enterovirus D","92.615425","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY385888","28","7333","7380","NC_001430","false","Picornaviridae Enterovirus D","92.5825","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY385889","28","7333","7380","NC_001430","false","Picornaviridae Enterovirus D","92.896095","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY385890","28","7332","7379","NC_001430","false","Picornaviridae Enterovirus D","92.67494","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY385891","39","7314","7372","NC_001430","false","Picornaviridae Enterovirus D","92.89132","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY385892","35","7326","7380","NC_001430","false","Picornaviridae Enterovirus D","92.84446","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"KY767820","28","7333","7380","NC_001430","false","Picornaviridae Enterovirus D","93.63239","EV-D68","100.0","EV-D68","100.0","B1","100.0"
"LC068708","17","7341","7380","NC_001430","false","Picornaviridae Enterovirus D","92.5936","EV-D68","100.0","EV-D68","100.0","A1","100.0"
"LC068710","17","7341","7380","NC_001430","false","Picornaviridae Enterovirus D","92.56637","EV-D68","100.0","EV-D68","100.0","A1","100.0"
"LC068711","65","7293","7380","NC_001430","false","Picornaviridae Enterovirus D","92.57229","EV-D68","100.0","EV-D68","100.0","A1","100.0"
"LC107896","82","7279","7380","NC_001430","false","Picornaviridae Enterovirus D","92.91209","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"LC107897","82","7279","7379","NC_001430","false","Picornaviridae Enterovirus D","92.98077","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"LC107899","82","7279","7380","NC_001430","false","Picornaviridae Enterovirus D","93.00825","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"LC107900","249","7112","7380","NC_001430","false","Picornaviridae Enterovirus D","93.03797","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"LC107901","251","7110","7380","NC_001430","false","Picornaviridae Enterovirus D","93.0661","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"LC495298","26","7334","7378","NC_001430","false","Picornaviridae Enterovirus D","92.45875","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"LC495299","26","7334","7378","NC_001430","false","Picornaviridae Enterovirus D","92.32238","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"LC629436","16","7345","7377","NC_001430","false","Picornaviridae Enterovirus D","93.87672","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"LC629439","16","7345","7377","NC_001430","false","Picornaviridae Enterovirus D","92.679276","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"LC629440","16","7331","7363","NC_001430","false","Picornaviridae Enterovirus D","92.54261","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"LC629443","17","7326","7365","NC_001430","false","Picornaviridae Enterovirus D","92.55116","EV-D68","100.0","EV-D68","100.0","A1","100.0"
"LC629444","17","7338","7377","NC_001430","false","Picornaviridae Enterovirus D","92.37265","EV-D68","100.0","EV-D68","100.0","A1","100.0"
"LC629446","16","7332","7364","NC_001430","false","Picornaviridae Enterovirus D","91.98473","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"LC629449","16","7345","7377","NC_001430","false","Picornaviridae Enterovirus D","91.20969","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"LC817373","31","7329","7378","NC_001430","false","Picornaviridae Enterovirus D","91.76214","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"LC889288","31","7345","7394","NC_001430","false","Picornaviridae Enterovirus D","91.72122","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"LC889289","31","7344","7393","NC_001430","false","Picornaviridae Enterovirus D","91.803055","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MF045414","70","7203","7291","NC_001430","false","Picornaviridae Enterovirus D","92.75301","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MF045416","118","7155","7291","NC_001430","false","Picornaviridae Enterovirus D","93.09477","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MF045418","99","7173","7290","NC_001430","false","Picornaviridae Enterovirus D","93.07124","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MF045419","49","7224","7291","NC_001430","false","Picornaviridae Enterovirus D","94.1714","EV-D68","100.0","EV-D68","100.0","B","96.0"
"MF045420","252","6736","7006","NC_001430","false","Picornaviridae Enterovirus D","92.60689","EV-D68","100.0","EV-D68","100.0","B","100.0"
"MF045422","253","7019","7290","NC_001430","false","Picornaviridae Enterovirus D","93.488174","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MG739632","231","7065","7314","NC_001430","false","Picornaviridae Enterovirus D","93.06244","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MG739633","39","7254","7311","NC_001430","false","Picornaviridae Enterovirus D","92.926094","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MG739634","57","7263","7339","NC_001430","false","Picornaviridae Enterovirus D","92.96143","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MG739635","31","7289","7339","NC_001430","false","Picornaviridae Enterovirus D","92.92887","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MG739636","167","7174","7360","NC_001430","false","Picornaviridae Enterovirus D","92.98661","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MG739638","49","6794","6861","NC_001430","false","Picornaviridae Enterovirus D","92.758316","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MG739639","42","7304","7365","NC_001430","false","Picornaviridae Enterovirus D","92.7572","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH041324","28","7334","7381","NC_001430","false","Picornaviridae Enterovirus D","92.512276","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341711","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.78308","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341712","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.74216","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341713","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.66393","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341716","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.909836","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341718","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.900055","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341719","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.622955","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341720","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.60573","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341721","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.69125","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341723","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.578445","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341724","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.6603","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MH341725","28","7329","7376","NC_001430","false","Picornaviridae Enterovirus D","92.76944","EV-D68","100.0","EV-D68","100.0","B3","99.0"
"MH341726","16","7345","7377","NC_001430","false","Picornaviridae Enterovirus D","92.02612","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MH341729","16","7345","7377","NC_001430","false","Picornaviridae Enterovirus D","91.74038","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MH341732","16","7345","7377","NC_001430","false","Picornaviridae Enterovirus D","91.970406","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MH341733","16","7345","7377","NC_001430","false","Picornaviridae Enterovirus D","91.90366","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MH341734","16","7345","7377","NC_001430","false","Picornaviridae Enterovirus D","91.91005","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MH708882","51","7311","7381","NC_001430","false","Picornaviridae Enterovirus D","92.86988","EV-D68","100.0","EV-D68","100.0","B1","100.0"
"MK105977","24","7339","7379","NC_001430","false","Picornaviridae Enterovirus D","92.13575","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MK105978","60","7304","7380","NC_001430","false","Picornaviridae Enterovirus D","92.104546","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MK105979","23","7341","7380","NC_001430","false","Picornaviridae Enterovirus D","92.2207","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MK105980","35","7325","7379","NC_001430","false","Picornaviridae Enterovirus D","92.82689","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MK105981","35","7326","7380","NC_001430","false","Picornaviridae Enterovirus D","92.870804","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MK105982","42","7322","7380","NC_001430","false","Picornaviridae Enterovirus D","92.598656","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MK105984","35","7326","7380","NC_001430","false","Picornaviridae Enterovirus D","92.14696","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MK105986","48","7304","7368","NC_001430","false","Picornaviridae Enterovirus D","91.721405","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MK105987","23","7341","7380","NC_001430","false","Picornaviridae Enterovirus D","91.41689","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MK105988","35","7326","7380","NC_001430","false","Picornaviridae Enterovirus D","92.24255","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MK105989","23","7341","7380","NC_001430","false","Picornaviridae Enterovirus D","91.40327","EV-D68","100.0","EV-D68","100.0","A2","100.0"
"MK419033","38","7322","7379","NC_001430","false","Picornaviridae Enterovirus D","92.580956","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MK419034","72","7288","7379","NC_001430","false","Picornaviridae Enterovirus D","92.59056","EV-D68","100.0","EV-D68","100.0","B3","100.0"
"MK419035","83","7277","7379","NC_001430","false","Picornaviridae Enterovirus D","92.6538","EV-D68","100.0","EV-D68","100.0","B3","100.0"
